Artist,Title,Medium,Year,Url,Image,Image_url,Image_stem
Anna Mould,Complicit,"synthetic polymer paint, embroidery thread and rosewater on canvas",2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30665/,SID101382M.jpg.582x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101382M.jpg.582x900_q85.jpg,SID101382M.jpg.582x900_q85.jpg
Kirsty Neilson,Cheng Lei – after China,oil on board,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30666/,SID101391M.jpg.800x560_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101391M.jpg.800x560_q85.jpg,SID101391M.jpg.800x560_q85.jpg
Tim Owers,On the bench and on the cusp (portrait of Cortnee Vine),oil on board,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30667/,SID101394M.jpg.599x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101394M.jpg.599x900_q85.jpg,SID101394M.jpg.599x900_q85.jpg
Laura Peacock,Peter at home,synthetic polymer paint on paper,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30668/,SID101401trim.jpg.793x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101401trim.jpg.793x900_q85.jpg,SID101401trim.jpg.793x900_q85.jpg
Meagan Pelham,Highlight in the moonlight,"ink, gouache, synthetic polymer paint pen, gold and silver foil, and glitter spray on paper",2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30669/,SID101395trim.jpg.664x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101395trim.jpg.664x900_q85.jpg,SID101395trim.jpg.664x900_q85.jpg
Thea Anamara Perkins,Mum (Hetti),synthetic polymer paint on board,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30670/,SID101383M.jpg.800x199_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101383M.jpg.800x199_q85.jpg,SID101383M.jpg.800x199_q85.jpg
Simon Richardson,Portrait of Fiona Pardington,egg tempera on aluminium composite panel and frame,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30671/,SID101369M.jpg.800x698_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101369M.jpg.800x698_q85.jpg,SID101369M.jpg.800x698_q85.jpg
Thom Roberts,Big Bamm-Bamm,synthetic polymer paint on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30672/,SID101396M.jpg.609x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101396M.jpg.609x900_q85.jpg,SID101396M.jpg.609x900_q85.jpg
Adrian Jangala Robertson,"Jumpin’ Julie, Yuendumu",synthetic polymer paint on canvas,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30673/,SID101375M.jpg.672x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101375M.jpg.672x900_q85.jpg,SID101375M.jpg.672x900_q85.jpg
Sally Ross,Matthew,oil on wood,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30674/,SID101345M.jpg.761x900_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SID101345M.jpg.761x900_q85.jpg,SID101345M.jpg.761x900_q85.jpg
Kean Onn See,Margaret Ackland,synthetic polymer paint on carved woodblock,2024,https://www.artgallery.nsw.gov.au/prizes/archibald/2024/30675/,SEE_KeanOnn_MargaretAckland_artistsupplied.jpg.800x736_q85.jpg,https://www.artgallery.nsw.gov.au/media/thumbnails/prize_images/SEE_KeanOnn_MargaretAckland_artistsupplied.jpg.800x736_q85.jpg,SEE_KeanOnn_MargaretAckland_artistsupplied.jpg.800x736_q85.jpg
